# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    182  -5.84848945E+00  -5.64859170E+00   1.99897751E-01
    183  -5.85583249E+00  -5.65702833E+00   1.98804161E-01
    184  -5.86346761E+00  -5.66252551E+00   2.00942100E-01
    185  -5.87198129E+00  -5.66890240E+00   2.03078884E-01
    186  -5.87913208E+00  -5.67493809E+00   2.04193987E-01
    187  -5.88619996E+00  -5.68101572E+00   2.05184237E-01
    188  -5.89278150E+00  -5.68591447E+00   2.06867031E-01
    189  -5.90009537E+00  -5.69220119E+00   2.07894175E-01
    190  -5.90777320E+00  -5.69958388E+00   2.08189320E-01
    191  -5.91500184E+00  -5.70562212E+00   2.09379723E-01
    192  -5.92317371E+00  -5.71097884E+00   2.12194878E-01
    193  -5.92993126E+00  -5.71739954E+00   2.12531718E-01
    194  -5.93788640E+00  -5.72403195E+00   2.13854451E-01
    195  -5.94479434E+00  -5.72902832E+00   2.15766023E-01
    196  -5.95314577E+00  -5.73423760E+00   2.18908168E-01
    197  -5.96095289E+00  -5.74020786E+00   2.20745024E-01
    198  -5.97131325E+00  -5.74690791E+00   2.24405346E-01
    199  -5.97934259E+00  -5.75323446E+00   2.26108124E-01
    200  -5.98615741E+00  -5.75864712E+00   2.27510284E-01
    201  -5.99472521E+00  -5.76553319E+00   2.29192023E-01
    202  -6.00353545E+00  -5.77189901E+00   2.31636438E-01
    203  -6.01182329E+00  -5.77943651E+00   2.32386776E-01
    204  -6.01797308E+00  -5.78550239E+00   2.32470691E-01
    205  -6.02482711E+00  -5.79071085E+00   2.34116268E-01
    206  -6.03300204E+00  -5.79660889E+00   2.36393150E-01
    207  -6.03917452E+00  -5.80180057E+00   2.37373959E-01
    208  -6.04520820E+00  -5.80684510E+00   2.38363093E-01
    209  -6.05170094E+00  -5.81247911E+00   2.39221834E-01
    210  -6.05740134E+00  -5.81731872E+00   2.40082625E-01
    211  -6.06302219E+00  -5.82279452E+00   2.40227665E-01
    212  -6.07010505E+00  -5.82845198E+00   2.41653064E-01
    213  -6.07584392E+00  -5.83343831E+00   2.42405605E-01
    214  -6.08206789E+00  -5.83908353E+00   2.42984356E-01
    215  -6.08802740E+00  -5.84335736E+00   2.44670042E-01
    216  -6.09388325E+00  -5.84785534E+00   2.46027902E-01
    217  -6.10182393E+00  -5.85341530E+00   2.48408628E-01
