# k =   0.250000  -0.000000  -0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.53884461E+00  -7.31094025E+00   2.27904361E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.76322792E-01   8.47958932E-01  -1.28363860E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    292  -6.53663959E+00  -6.43854886E+00   9.80907278E-02
    293  -6.54088020E+00  -6.44154784E+00   9.93323647E-02
    294  -6.54424325E+00  -6.44480877E+00   9.94344746E-02
    295  -6.54743489E+00  -6.44799009E+00   9.94448019E-02
    296  -6.55046994E+00  -6.45069195E+00   9.97779854E-02
    297  -6.55340308E+00  -6.45314709E+00   1.00255989E-01
    298  -6.55623695E+00  -6.45605160E+00   1.00185350E-01
    299  -6.55954094E+00  -6.46001551E+00   9.95254287E-02
    300  -6.56252182E+00  -6.46298132E+00   9.95405018E-02
# k =   0.250000   0.000000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.44094685E+00  -6.92285136E+00   5.18095492E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.52148323E-01   7.45289209E-01  -2.06859114E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.03593906E-04  -1.33681470E-03  -4.33220789E-04
      2  -1.82897067E-03  -2.71120205E-03  -8.82231381E-04
      3  -2.80676540E-03  -4.11624074E-03  -1.30947534E-03
      4  -3.79340773E-03  -5.57574505E-03  -1.78233732E-03
      5  -4.99815454E-02  -3.35376434E-02   1.64439020E-02
      6  -8.65847340E-02  -7.47117504E-02   1.18729836E-02
      7  -9.30626714E-02  -2.02157376E-01  -1.09094705E-01
      8  -9.93800330E-02  -3.07913822E-01  -2.08533789E-01
      9  -1.03316932E-01  -4.33634973E-01  -3.30318041E-01
     10  -1.10464583E-01  -5.58611395E-01  -4.48146812E-01
     11  -1.14532129E-01  -6.72760966E-01  -5.58228837E-01
     12  -1.22744637E-01  -7.92437937E-01  -6.69693300E-01
     13  -1.31412219E-01  -7.97568676E-01  -6.66156457E-01
     14  -1.41896381E-01  -8.03066884E-01  -6.61170503E-01
     15  -1.43377548E-01  -8.04168701E-01  -6.60791153E-01
     16  -1.44681198E-01  -8.05256521E-01  -6.60575323E-01
     17  -2.57117769E-01  -8.99479988E-01  -6.42362219E-01
     18  -3.64237926E-01  -1.00114531E+00  -6.36907382E-01
     19  -3.99255013E-01  -1.01031722E+00  -6.11062212E-01
     20  -4.38696196E-01  -1.01923819E+00  -5.80541994E-01
     21  -4.81695151E-01  -1.03248446E+00  -5.50789313E-01
     22  -5.41492422E-01  -1.05092143E+00  -5.09429004E-01
     23  -7.22003066E-01  -1.07648830E+00  -3.54485230E-01
     24  -9.61856415E-01  -1.10295404E+00  -1.41097621E-01
     25  -1.00832825E+00  -1.10825014E+00  -9.99218902E-02
     26  -1.03049846E+00  -1.11124097E+00  -8.07425102E-02
     27  -1.04002108E+00  -1.11297984E+00  -7.29587586E-02
     28  -1.04545119E+00  -1.11430410E+00  -6.88529111E-02
     29  -1.04671538E+00  -1.11584584E+00  -6.91304620E-02
     30  -1.04801477E+00  -1.11735354E+00  -6.93387778E-02
     31  -1.04964843E+00  -1.12013037E+00  -7.04819419E-02
     32  -1.05114073E+00  -1.12246087E+00  -7.13201399E-02
     33  -1.05309588E+00  -1.12537917E+00  -7.22832859E-02
     34  -1.05480680E+00  -1.12776321E+00  -7.29564178E-02
     35  -1.05706054E+00  -1.12926561E+00  -7.22050764E-02
     36  -1.05874031E+00  -1.13007714E+00  -7.13368297E-02
     37  -1.10978105E+00  -1.23287517E+00  -1.23094120E-01
     38  -1.13875900E+00  -1.28771273E+00  -1.48953737E-01
     39  -1.21145269E+00  -1.42328503E+00  -2.11832348E-01
     40  -1.34302074E+00  -1.64447425E+00  -3.01453511E-01
     41  -1.38024327E+00  -1.70360778E+00  -3.23364509E-01
     42  -1.39967029E+00  -1.73364690E+00  -3.33976618E-01
     43  -1.40393101E+00  -1.73685183E+00  -3.32920820E-01
     44  -1.40651729E+00  -1.73782362E+00  -3.31306330E-01
     45  -1.40903414E+00  -1.74076405E+00  -3.31729907E-01
     46  -1.41111348E+00  -1.74345256E+00  -3.32339088E-01
     47  -1.41841525E+00  -1.74649281E+00  -3.28077561E-01
     48  -1.42339573E+00  -1.74919689E+00  -3.25801157E-01
